id,answer
5e7a923dd6e4ccb8730eb95230e0c908,「時光機」和「網際網路檔案
a2e9cd802197b8f8dfbe235e2761f9ed,荷蘭
c7c8a85b3f0006d44d86510a22193620,18日德皇威廉二世在歡送弟弟海因里希親王率艦隊來華的《基爾演說》中有對中國要「用鐵拳打進去」的話。「義和」的提法並不是趙三多首創，在此之前，以「義和」命名的組織也曾零星地出現過，譬如1774年王倫叛亂中曾提及一個組織叫義和拳，1813年
7f4f68726faed6b987e348340a9e6a61,4%
89908ef5182021a9aec1472c5bbcbd8c,百合化
14f4fbc7e40d017836f414e71acead71,劉備
4911c04597a5e2d7eb539efa00c053f8,中山縣
755ebc079613e214f1abd5d52a6e8d32,荃灣區
38e45c1c2c6e7a96080bd753c7fadb43,1989年
d52156507573c4742d4e75a887e5b5d7,哈里發所征服。到了中世紀前期的後段，這些衰落的趨勢才得以逆轉。800年
196459cd4f5ef8c3131171430d4eeaca,2009年
f5594e2e303b34fb1620da127d930d9c,蘇維埃主席團
a5ba4f33e0a83a9ecba9b0f3adfd7b14,浪費大量人
63ea80494c552fecb4b54eb64f226686,英國廣播公司
ba806d826731e8dc38c8e8f1300b6726,劉備
9fe42ca2d1efeaa8e1fd45120612cc8e,1997年
ddbea2ca7dda8989670a5ff773eb243a,2011年發布之資料顯示，2010年新北市以每百人中有92.0人使用國語最多，82.9人使用閩南語次之，而使用客家語及原住民族語者，每百人中則僅有2.4人及0.9人。新北市有藍領外籍勞工約5萬人，是臺灣次多；另有外國專業人員約5千人，位居全台第三。根據中華民國勞動部勞動統計月報，新北市2016年
d82f4c4513687055ce042071780452e4,洛陽城建造了奈良的平城京。近些年
3d5d21134f95a76609c8441eb73813c4,吳軍意圖奪回但被晉將毛炅擊敗。269年
4c2f00fb03ad43b8209325c21201905a,2001年
39ab6557763c3f915179675dedf63b30,12年
adb2675ed651e3f67ab671f82cc264fb,4米
b8664bcbea5402f9fa5885b9ed231f12,阿蒂博尼特河流主要流經區域多位於海地國內，為海地最重要的河川。多明尼加最大的湖為恩里基略湖，位於多國西南部，其位置低於海平面40公呎，氣候
e2d2afe821fc59ddc9227d64e35c7c32,增強命
e84fd3b41339ec4558004d66ebda27d0,黃河
f7dba33d747a99b0429e08b4c1ac3363,1991年
0ab024ea410b8dcf969f868e4c114fe7,普遍，「時光機」和「網際網路檔案
37bc5ae3cd3acd6788727c388c397b1d,高收入經濟體
d2a6608bafac0e882e002bdddc63db64,智能化管理。目前，中山正在就第二期
ad3029557fb36d544b35f1aec3fbc865,大民怨能量
8d38d1718277da29fee660dcef42ac46,1949年中華人民共和國成立所導致的海峽兩岸政治分立。地理上，該詞是指中國的大陸領土，屬於歐亞大陸的一部分的事實，與中國的海島領土相對；但當代的使用上，其做為一個政治名詞的用途遠大於地理名詞，指的是中華人民共和國政府直接管轄的區域，故海南島、舟山群島等中華人民共和國之海洋及海島領土，都被視為中國大陸的一部分，香港、澳門這兩個特別行政區則排除在外。使用情形類似的還有「中國內地」一詞。中華人民共和國政府在各項官方統計及紀錄中，大多以中國大陸的數值作為標準。另一方面，1949年因內戰失敗撤退臺灣地區的中華民國政府，在法律上仍然主張中國大陸為其疆域，並在《中華民國憲法增修條文》、《兩岸人民關係條例》
09cb4edaa869505cd516d727ff4758fd,加貧困
6bdd2dc8bbbdca1034cba722ec182d98,牛[UNK]湖和沙洲，具有老年
6694159995d0c7acf63cedb816d2beb6,自由軟體
237fcd7ae827d78952c9e102123dbe62,45億年
8fba5163cafc7c9f7b3e772aff3658ea,1950年
fae75c17ca82f292c196294625258a80,俄等國委員正面回應，保住會
0d092b332bd42301a0f90ae706e41e61,15個年
09d280b721aba108c5f23e2935da60b8,1999年
758c8ecbb9d846c0eea65f8e030e3b30,登峰造極的程度
e88f40dbb7d96a7b1492faa139f131eb,常務委員會
7356186cc97b5886809ffee83ac04d93,1927年
a0adac4acd0a50397a77d9685351be81,許。然而，他們通過收買多瑙河
f24fa605a776040ace63cbe06fefaa7f,2.5%
8b39ea7de68916747694ee8c067f9a18,芸生為主任委員，負責社評的選題、立論
fc4aa703132069af01b46b80b8926fae,蘇聯的社會主義
e3c5c08f75ce0efae51b73cc3ddfb564,《巴黎和約》。15日普奧簽定《胡貝圖斯堡條約》
8db285906d93a358467ec1e26f8dd294,2006年
